"MainID","TaxonID","DataSourceID","BiotopeID","LocationID","TaxonName","CommonName","Reliability","SamplingInterval","datasetlength","ndatapoints","uniquevals","zerorun","zeros","propzeros","missingvals","propmissing","TaxonomicPhylum","TaxonomicClass","TaxonomicOrder","TaxonomicFamily","TaxonomicGenus","TaxonomicClass2","TaxonomicLevel","Mass_g","Length_mm","MinAge_mo","Lifespan_mo","Fertility","TrL","timescale_MinAge","timescale_Lifespan","timestep_MinAge","timestep_Lifespan","ExactName","Country","Continent","LongDD","LatDD","SpatialAccuracy","LocationExtent","SamplingUnits","SourceTransform","Notes","data_rescale_case","monotonicR2"
1,1,1,1,1,"Bonasa bonasia","Hazel grouse",4,"annual",30,30,22,1,1,0.0333333333333333,0,0,"Chordata","Aves","Galliformes","Tetraonidae","Bonasa ","Aves","Species",429,375,10,60,8,3,36,6,1.2,0.2,"Pechoro-Ilych Reserve","Russian Federation","Europe",57,62,3,1,"All Individuals","None","Source dominated landscape.",2,0.0160254616314163
56,9,13,11,18,"Haematopus ostralegus","Eurasian oystercatcher",4,"annual",52,47,18,0,0,0,5,0.0961538461538461,"Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus ","Aves","Species",526,440,36,240,3,5,17.3333333333333,2.6,0.333333333333333,0.05,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,0.291481061530427
57,61,13,11,18,"Anthus pratensis","Meadow pipit",4,"annual",52,47,20,0,0,0,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Motacillidae","Anthus ","Aves","Species",18,145,12,84,8,4,52,7.42857142857143,1,0.142857142857143,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,8.51583278628927e-05
58,62,13,11,18,"Oenanthe oenanthe","Wheatear",4,"annual",52,47,21,0,0,0,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe ","Aves","Species",23,150,12,84,12,4,52,7.42857142857143,1,0.142857142857143,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,0.0397819911115928
59,63,13,11,18,"Alauda arvensis","Skylark",4,"annual",52,47,23,0,0,0,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Alaudidae","Alauda ","Aves","Species",40,180,12,120,15,4,52,5.2,1,0.1,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,0.776770713214827
60,64,13,11,18,"Sturnus vulgaris","Starling",4,"annual",52,47,22,12,12,0.25531914893617,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Sturnidae","Sturnus ","Aves","Species",82,220,10,84,12,4,62.4,7.42857142857143,1.2,0.142857142857143,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",2,0.871565421216454
61,65,13,11,18,"Vanellus vanellus","Lapwing",4,"annual",52,47,21,1,1,0.0212765957446809,5,0.0961538461538461,"Chordata","Aves","Charadriiformes","Charadriidae","Vanellus ","Aves","Species",219,300,12,216,4,5,52,2.88888888888889,1,0.0555555555555556,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",2,0.0148646008961611
64,68,13,11,18,"Corvus corone","Carrion crow",4,"annual",52,47,9,0,0,0,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Corvidae","Corvus ","Aves","Species",570,435,24,180,5,4,26,3.46666666666667,0.5,0.0666666666666667,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,0.216196030817794
65,69,13,11,18,"Prunella modularis","Hedge sparrow or Dunnock",4,"annual",52,47,10,18,18,0.382978723404255,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Prunellidae","Prunella ","Aves","Species",19.7,140,12,72,10,4,52,8.66666666666667,1,0.166666666666667,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",2,0.00828457023132868
1150,162,17,17,94,"Coccyzus americanus","Yellow billed cuckoo",4,"annual",50,44,7,2,3,0.0681818181818182,6,0.12,"Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus ","Aves","Species",64,265,6,81,5,5,100,7.40740740740741,2,0.148148148148148,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",2,0.185520716829298
